Stc_Date,Close,"Prev Close",Price_Change,Price_Change_Percent
2000-01-03,708.5,656,52.5,8
2000-01-04,712.35,709,3.3500000000000227,0.47
2000-01-05,726.2,712,14.200000000000045,1.99
2000-01-06,784.3,726,58.299999999999955,8.03
2000-01-07,847.05,784,63.049999999999955,8.04
2000-01-10,914.85,847,67.85000000000002,8.01
2000-01-11,883.7,915,-31.299999999999955,-3.42
2000-01-12,888.35,884,4.350000000000023,0.49
2000-01-13,879.75,888,-8.25,-0.93
2000-01-14,887.55,880,7.5499999999999545,0.86
2000-01-17,817.35,888,-70.64999999999998,-7.96
2000-01-18,821.35,817,4.350000000000023,0.53
2000-01-19,826.1,821,5.100000000000023,0.62
2000-01-20,786.1,826,-39.89999999999998,-4.83
2000-01-21,831.55,786,45.549999999999955,5.8
2000-01-24,792.45,832,-39.549999999999955,-4.75
2000-01-25,729.55,792,-62.450000000000045,-7.89
2000-01-27,778.85,730,48.85000000000002,6.69
2000-01-28,719.2,779,-59.799999999999955,-7.68
2000-01-31,692.2,719,-26.799999999999955,-3.73
2000-02-01,701.55,692,9.549999999999955,1.38
2000-02-02,714.05,702,12.049999999999955,1.72
2000-02-03,709.1,714,-4.899999999999977,-0.69
2000-02-04,695.5,709,-13.5,-1.9
2000-02-07,747.3,696,51.299999999999955,7.37
2000-02-08,763.25,747,16.25,2.18
2000-02-09,824.35,763,61.35000000000002,8.04
2000-02-10,890.3,824,66.29999999999995,8.05
2000-02-11,961.55,890,71.54999999999995,8.04
2000-02-14,932.55,962,-29.450000000000045,-3.06
2000-02-15,1006.5,933,73.5,7.88
2000-02-16,997.2,1007,-9.799999999999955,-0.97
2000-02-17,1030.1,997,33.09999999999991,3.32
2000-02-18,956.8,1030,-73.20000000000005,-7.11
2000-02-21,979.9,957,22.899999999999977,2.39
2000-02-22,941.3,980,-38.700000000000045,-3.95
2000-02-23,866.05,941,-74.95000000000005,-7.96
2000-02-24,842.7,866,-23.299999999999955,-2.69
2000-02-25,810.15,843,-32.85000000000002,-3.9
2000-02-28,803.5,810,-6.5,-0.8
2000-02-29,746.85,804,-57.14999999999998,-7.11
2000-03-01,753.75,747,6.75,0.9
2000-03-02,724.6,754,-29.399999999999977,-3.9
2000-03-03,675.35,725,-49.64999999999998,-6.85
2000-03-06,729.4,675,54.39999999999998,8.06
2000-03-07,780.6,729,51.60000000000002,7.08
2000-03-08,807.55,781,26.549999999999955,3.4
2000-03-09,828.7,808,20.700000000000045,2.56
2000-03-10,837.4,829,8.399999999999977,1.01
2000-03-13,829.05,837,-7.9500000000000455,-0.95
2000-03-14,859,829,30,3.62
2000-03-15,851.7,859,-7.2999999999999545,-0.85
2000-03-16,785.65,852,-66.35000000000002,-7.79
2000-03-21,725.15,786,-60.85000000000002,-7.74
2000-03-22,740.45,725,15.450000000000045,2.13
2000-03-23,704.75,740,-35.25,-4.76
2000-03-24,721.4,705,16.399999999999977,2.33
2000-03-27,720.5,721,-0.5,-0.07
2000-03-28,701.95,721,-19.049999999999955,-2.64
2000-03-29,723.15,702,21.149999999999977,3.01
2000-03-30,720.15,723,-2.8500000000000227,-0.39
2000-03-31,741.45,720,21.450000000000045,2.98
2000-04-03,797,741,56,7.56
2000-04-04,733.25,797,-63.75,-8
2000-04-05,698.75,733,-34.25,-4.67
2000-04-06,682.8,699,-16.200000000000045,-2.32
2000-04-07,730.95,683,47.950000000000045,7.02
2000-04-10,736,731,5,0.68
2000-04-11,717,736,-19,-2.58
2000-04-12,721.85,717,4.850000000000023,0.68
2000-04-13,685.65,722,-36.35000000000002,-5.03
2000-04-17,630.8,686,-55.200000000000045,-8.05
2000-04-18,580.7,631,-50.299999999999955,-7.97
2000-04-19,582.2,581,1.2000000000000455,0.21
2000-04-20,575.7,582,-6.2999999999999545,-1.08
2000-04-24,530.95,576,-45.049999999999955,-7.82
2000-04-25,513.6,531,-17.399999999999977,-3.28
2000-04-26,554.7,514,40.700000000000045,7.92
2000-04-27,574.95,555,19.950000000000045,3.59
2000-04-28,569.2,575,-5.7999999999999545,-1.01
2000-05-02,527.95,569,-41.049999999999955,-7.21
2000-05-03,525.7,528,-2.2999999999999545,-0.44
2000-05-04,549.15,526,23.149999999999977,4.4
2000-05-05,564.4,549,15.399999999999977,2.81
2000-05-08,520.35,564,-43.64999999999998,-7.74
2000-05-09,529.1,520,9.100000000000023,1.75
2000-05-10,533,529,4,0.76
2000-05-11,533.25,533,0.25,0.05
2000-05-12,559.45,533,26.450000000000045,4.96
2000-05-15,580.45,559,21.450000000000045,3.84
2000-05-16,625.8,580,45.799999999999955,7.9
2000-05-17,618.55,626,-7.4500000000000455,-1.19
2000-05-18,604.7,619,-14.299999999999955,-2.31
2000-05-19,619.05,605,14.049999999999955,2.32
2000-05-22,628.45,619,9.450000000000045,1.53
2000-05-23,643.1,628,15.100000000000023,2.4
2000-05-24,624.95,643,-18.049999999999955,-2.81
2000-05-25,654.55,625,29.549999999999955,4.73
2000-05-26,671.8,655,16.799999999999955,2.56
2000-05-29,670.5,672,-1.5,-0.22
2000-05-30,739.15,671,68.14999999999998,10.16
2000-05-31,725.6,739,-13.399999999999977,-1.81
2000-06-01,695.65,726,-30.350000000000023,-4.18
2000-06-02,696.5,696,0.5,0.07
2000-06-05,665.1,697,-31.899999999999977,-4.58
2000-06-06,667.95,665,2.9500000000000455,0.44
2000-06-07,688.25,668,20.25,3.03
2000-06-08,707.6,688,19.600000000000023,2.85
2000-06-09,699.5,708,-8.5,-1.2
2000-06-12,688.25,700,-11.75,-1.68
2000-06-13,689.85,688,1.8500000000000227,0.27
2000-06-14,697.8,690,7.7999999999999545,1.13
2000-06-15,716.9,698,18.899999999999977,2.71
2000-06-16,723.7,717,6.7000000000000455,0.93
2000-06-19,737.25,724,13.25,1.83
2000-06-20,751.4,737,14.399999999999977,1.95
2000-06-21,724.95,751,-26.049999999999955,-3.47
2000-06-22,736,725,11,1.52
2000-06-23,739.4,736,3.3999999999999773,0.46
2000-06-26,724.95,739,-14.049999999999955,-1.9
2000-06-27,720.75,725,-4.25,-0.59
2000-06-28,754.4,721,33.39999999999998,4.63
2000-06-29,798.85,754,44.85000000000002,5.95
2000-06-30,791.8,799,-7.2000000000000455,-0.9
2000-07-03,817.15,792,25.149999999999977,3.18
2000-07-04,809.65,817,-7.350000000000023,-0.9
2000-07-05,798.4,810,-11.600000000000023,-1.43
2000-07-06,809.4,798,11.399999999999977,1.43
2000-07-07,832.95,809,23.950000000000045,2.96
2000-07-10,837.95,833,4.9500000000000455,0.59
2000-07-11,863.25,838,25.25,3.01
2000-07-12,845.5,863,-17.5,-2.03
2000-07-13,833.3,846,-12.700000000000045,-1.5
2000-07-14,824.85,833,-8.149999999999977,-0.98
2000-07-17,781.7,825,-43.299999999999955,-5.25
2000-07-18,805.95,782,23.950000000000045,3.06
2000-07-19,784.7,806,-21.299999999999955,-2.64
2000-07-20,769.45,785,-15.549999999999955,-1.98
2000-07-21,753.75,769,-15.25,-1.98
2000-07-24,739.15,754,-14.850000000000023,-1.97
2000-07-25,755.7,739,16.700000000000045,2.26
2000-07-26,732.15,756,-23.850000000000023,-3.15
2000-07-27,736.65,732,4.649999999999977,0.64
2000-07-28,748.05,737,11.049999999999955,1.5
2000-07-31,741.95,748,-6.0499999999999545,-0.81
2000-08-01,751.7,742,9.700000000000045,1.31
2000-08-02,759.25,752,7.25,0.96
2000-08-03,749.55,759,-9.450000000000045,-1.25
2000-08-04,761.05,750,11.049999999999955,1.47
2000-08-07,775.15,761,14.149999999999977,1.86
2000-08-08,778.2,775,3.2000000000000455,0.41
2000-08-09,768.4,778,-9.600000000000023,-1.23
2000-08-10,767.35,768,-0.6499999999999773,-0.08
2000-08-11,761.25,767,-5.75,-0.75
2000-08-14,801.85,761,40.85000000000002,5.37
2000-08-16,818.8,802,16.799999999999955,2.09
2000-08-17,799.85,819,-19.149999999999977,-2.34
2000-08-18,793.55,800,-6.4500000000000455,-0.81
2000-08-21,780.9,794,-13.100000000000023,-1.65
2000-08-22,766.25,781,-14.75,-1.89
2000-08-23,776.65,766,10.649999999999977,1.39
2000-08-24,769.5,777,-7.5,-0.97
2000-08-25,760.3,770,-9.700000000000045,-1.26
2000-08-28,763.95,760,3.9500000000000455,0.52
2000-08-29,767,764,3,0.39
2000-08-30,759.25,767,-7.75,-1.01
2000-08-31,775.95,759,16.950000000000045,2.23
2000-09-04,771.45,776,-4.5499999999999545,-0.59
2000-09-05,772.35,771,1.3500000000000227,0.18
2000-09-06,764.5,772,-7.5,-0.97
2000-09-07,764,765,-1,-0.13
