Index,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover(b),Trades,Deliverable Volume,%Deliverble
1,03-01-2000,ITC,EQ,656,694,708.5,675,708.5,708.5,701.81,562715,39491.74,,,
2,04-01-2000,ITC,EQ,708.5,714,729,694.3,710.65,712.35,714.16,712637,50893.79,,,
3,05-01-2000,ITC,EQ,712.35,716.25,758.9,660,731,726.2,732.43,1382149,101232.48,,,
4,06-01-2000,ITC,EQ,726.2,741,784.3,741,784.3,784.3,776.63,721618,56042.66,,,
5,07-01-2000,ITC,EQ,784.3,832.4,847.05,824,847.05,847.05,841.25,231209,19450.46,,,
6,10-01-2000,ITC,EQ,847.05,911.15,914.85,875,914.85,914.85,907.23,1219818,110665.28,,,
7,11-01-2000,ITC,EQ,914.85,902,952,866.1,877,883.7,908.61,2376154,215900.79,,,
8,12-01-2000,ITC,EQ,883.7,905,924,870.3,895,888.35,891.48,616366,54947.54,,,
9,13-01-2000,ITC,EQ,888.35,900,936,871,876.95,879.75,908.42,667073,60598.44,,,
10,14-01-2000,ITC,EQ,879.75,879.9,903.7,863.2,894,887.55,883.15,575381,50814.66,,,
11,17-01-2000,ITC,EQ,887.55,904.95,904.95,816.55,816.55,817.35,839.35,1763903,148052.78,,,
12,18-01-2000,ITC,EQ,817.35,806,830,796,826.5,821.35,816.85,807421,65954.58,,,
13,19-01-2000,ITC,EQ,821.35,830,848,801,822.1,826.1,832.91,426440,35518.44,,,
14,20-01-2000,ITC,EQ,826.1,830,830,778.7,785,786.1,798.47,485044,38729.51,,,
15,21-01-2000,ITC,EQ,786.1,785,845.9,785,830,831.55,825.3,1200922,99112.39,,,
16,24-01-2000,ITC,EQ,831.55,836,858,782.5,785,792.45,831.41,1546995,128618.41,,,
17,25-01-2000,ITC,EQ,792.45,780,780,729.05,730.5,729.55,735.14,1241015,91231.96,,,
18,27-01-2000,ITC,EQ,729.55,751,787.95,680,765,778.85,757.15,1868015,141436.16,,,
19,28-01-2000,ITC,EQ,778.85,767,767,716.55,716.55,719.2,738.09,1276603,94225.21,,,
20,31-01-2000,ITC,EQ,719.2,711,728,685,688,692.2,706.22,993321,70150.18,,,
21,01-02-2000,ITC,EQ,692.2,697,721.75,691,704,701.55,707.4,1154968,81702.19,,,
22,02-02-2000,ITC,EQ,701.55,720,732.7,712,714.95,714.05,722.27,600607,43380.05,,,
23,03-02-2000,ITC,EQ,714.05,721,726,705,709.95,709.1,715.57,357056,25550.01,,,
24,04-02-2000,ITC,EQ,709.1,713,719.8,691,699,695.5,703.28,438192,30817.08,,,
25,07-02-2000,ITC,EQ,695.5,708.5,751.15,708.5,751.15,747.3,741.06,967422,71691.58,,,
26,08-02-2000,ITC,EQ,747.3,761.1,798,756,763,763.25,775.9,969144,75196.35,,,
27,09-02-2000,ITC,EQ,763.25,784.4,824.35,772,824.35,824.35,816.02,677696,55301.62,,,
28,10-02-2000,ITC,EQ,824.35,890.3,890.3,890.3,890.3,890.3,890.3,20323,1809.36,,,
29,11-02-2000,ITC,EQ,890.3,961.55,961.55,961.55,961.55,961.55,961.55,43319,4165.34,,,
30,14-02-2000,ITC,EQ,961.55,998.4,1037,902,930,932.55,949.03,1122348,106514.65,,,
31,15-02-2000,ITC,EQ,932.55,925,1007.15,910,1007.15,1006.5,984.91,1468348,144619.68,,,
32,16-02-2000,ITC,EQ,1006.5,1029.6,1067,975,990,997.2,1004.21,1639575,164648.30,,,
33,17-02-2000,ITC,EQ,997.2,999,1054.9,992.05,1030,1030.1,1033.46,1924843,198924.15,,,
34,18-02-2000,ITC,EQ,1030.1,1035,1050,947.7,970,956.8,995.09,1091697,108633.23,,,
35,21-02-2000,ITC,EQ,956.8,990,1008,960,980,979.9,985.88,972386,95865.68,,,
36,22-02-2000,ITC,EQ,979.9,985,998.85,922.6,950,941.3,957.93,1088543,104274.47,,,
37,23-02-2000,ITC,EQ,941.3,951,999,866,866,866.05,905.64,714522,64709.91,,,
38,24-02-2000,ITC,EQ,866.05,866,880,811,860,842.7,840.14,595043,49992.02,,,
39,25-02-2000,ITC,EQ,842.7,868.7,868.7,801,810,810.15,831.94,342968,28532.74,,,
40,28-02-2000,ITC,EQ,810.15,820,838.85,786.1,802.45,803.5,813.72,333728,27156.25,,,
41,29-02-2000,ITC,EQ,803.5,810,819,739.25,739.25,746.85,782.16,1301851,101825.37,,,
42,01-03-2000,ITC,EQ,746.85,740.1,784,710,760,753.75,758.76,874568,66359.11,,,
43,02-03-2000,ITC,EQ,753.75,761,780,714.4,719,724.6,750.91,1069797,80332.37,,,
44,03-03-2000,ITC,EQ,724.6,736,736,666.65,690,675.35,689.05,696618,48000.47,,,
45,06-03-2000,ITC,EQ,675.35,697,729.4,697,729.4,729.4,720.55,476107,34305.93,,,
46,07-03-2000,ITC,EQ,729.4,745,787.75,732,787.75,780.6,755.05,954532,72071.93,,,
47,08-03-2000,ITC,EQ,780.6,820,843.05,780,808,807.55,816.63,816449,66673.29,,,
48,09-03-2000,ITC,EQ,807.55,815,847,787.1,830,828.7,817.17,889699,72703.97,,,
49,10-03-2000,ITC,EQ,828.7,839.95,867,810.05,867,837.4,833.24,679326,56603.88,,,
50,13-03-2000,ITC,EQ,837.4,867,904.4,800,825,829.05,864.57,1122941,97085.63,,,
51,14-03-2000,ITC,EQ,829.05,825,878,791,850,859,834.93,1118886,93419.46,,,
52,15-03-2000,ITC,EQ,859,860,875,826,845.9,851.7,851.9,448662,38221.73,,,
53,16-03-2000,ITC,EQ,851.7,859,859,783.6,783.6,785.65,805.69,478057,38516.71,,,
54,21-03-2000,ITC,EQ,785.65,775,787.9,722.8,726,725.15,733.69,395936,29049.51,,,
55,22-03-2000,ITC,EQ,725.15,745,770,736,744.9,740.45,750.12,449248,33699.21,,,
56,23-03-2000,ITC,EQ,740.45,746.9,747.8,697,709.75,704.75,715.3,298809,21373.84,,,
57,24-03-2000,ITC,EQ,704.75,712,733,712,721,721.4,721.2,258417,18637.06,,,
58,27-03-2000,ITC,EQ,721.4,724.9,732,710.05,721.5,720.5,720.96,243855,17580.89,,,
59,28-03-2000,ITC,EQ,720.5,722,723.9,692.15,701,701.95,706.75,385509,27246.01,,,
60,29-03-2000,ITC,EQ,701.95,720,750,712,723.5,723.15,726.01,347546,25232.20,,,
61,30-03-2000,ITC,EQ,723.15,729.9,754,711,719,720.15,730.22,603876,44095.94,,,
62,31-03-2000,ITC,EQ,720.15,711,751.85,710,731,741.45,734.23,586148,43036.91,,,
63,03-04-2000,ITC,EQ,741.45,739.9,800.8,721.05,792.75,797,772.76,1720025,132916.47,,,
64,04-04-2000,ITC,EQ,797,785,785,733.25,733.25,733.25,744.37,581309,43270.67,,,
65,05-04-2000,ITC,EQ,733.25,680,740,675.05,696.1,698.75,700.53,706269,49476.37,,,
66,06-04-2000,ITC,EQ,698.75,705,711,646.1,685,682.8,676.06,431386,29164.23,,,
67,07-04-2000,ITC,EQ,682.8,682,733.9,682,730,730.95,722.23,1087357,78531.81,,,
68,10-04-2000,ITC,EQ,730.95,735,771.8,725,730.1,736,752.45,1461248,109951.46,,,
69,11-04-2000,ITC,EQ,736,726.1,728,703,723,717,712.56,479431,34162.36,,,
70,12-04-2000,ITC,EQ,717,725,739.6,715,717,721.85,724.76,353802,25642.33,,,
71,13-04-2000,ITC,EQ,721.85,701.55,701.55,680,689,685.65,689.26,402330,27730.91,,,
72,17-04-2000,ITC,EQ,685.65,680,680,630.8,630.8,630.8,632.57,323927,20490.76,,,
73,18-04-2000,ITC,EQ,630.8,630.8,647.25,580.35,580.35,580.7,598.34,688991,41225.05,,,
74,19-04-2000,ITC,EQ,580.7,619,619,558,582,582.2,583.74,756996,44188.54,,,
75,20-04-2000,ITC,EQ,582.2,571.5,584.95,542.65,571,575.7,563.24,918435,51730.31,,,
76,24-04-2000,ITC,EQ,575.7,575,575,529.65,529.65,530.95,539.98,624758,33735.85,,,
77,25-04-2000,ITC,EQ,530.95,500.7,526,489.8,519.1,513.6,502.87,873486,43925.20,,,
78,26-04-2000,ITC,EQ,513.6,529.8,554.7,529.8,554.7,554.7,546.8,304309,16639.73,,,
79,27-04-2000,ITC,EQ,554.7,594,594,554.7,569,574.95,574.93,947651,54483.02,,,
80,28-04-2000,ITC,EQ,574.95,575,584.9,561,569.9,569.2,570.6,357585,20403.83,,,
81,02-05-2000,ITC,EQ,569.2,565,574,525,533,527.95,538.35,433751,23351.12,,,
82,03-05-2000,ITC,EQ,527.95,502,544.5,495.1,528,525.7,518.07,582541,30179.84,,,
83,04-05-2000,ITC,EQ,525.7,530,557,520,549.9,549.15,545,513933,28009.52,,,
84,05-05-2000,ITC,EQ,549.15,553.8,573,549,563,564.4,560.35,641020,35919.63,,,
85,08-05-2000,ITC,EQ,564.4,572,593.1,519.25,519.25,520.35,543.87,485042,26379.77,,,
86,09-05-2000,ITC,EQ,520.35,506.3,541,500,530.05,529.1,522.97,434331,22714.35,,,
87,10-05-2000,ITC,EQ,529.1,535,555.45,519,535,533,535.17,1119290,59900.81,,,
88,11-05-2000,ITC,EQ,533,530,545.5,515,535,533.25,534.61,564757,30192.32,,,
89,12-05-2000,ITC,EQ,533.25,539.9,568.4,531,553,559.45,546.43,1340982,73275.95,,,
90,15-05-2000,ITC,EQ,559.45,552,590,536,583,580.45,563.73,873242,49227.13,,,
91,16-05-2000,ITC,EQ,580.45,585.2,634.8,585.2,619.9,625.8,614.16,1344438,82570.19,,,
92,17-05-2000,ITC,EQ,625.8,635,640,613,618,618.55,624.74,1214993,75904.89,,,
93,18-05-2000,ITC,EQ,618.55,610.05,625,595,609,604.7,607.79,748001,45462.69,,,
94,19-05-2000,ITC,EQ,604.7,597.05,622,595.1,619.1,619.05,610.92,560732,34256.47,,,
95,22-05-2000,ITC,EQ,619.05,615,637.8,611.25,626,628.45,629.48,716805,45121.52,,,
96,23-05-2000,ITC,EQ,628.45,630.55,650,627.25,641,643.1,639.04,767879,49070.92,,,
97,24-05-2000,ITC,EQ,643.1,640,659,602,605.1,624.95,640.2,1112766,71238.90,,,
98,25-05-2000,ITC,EQ,624.95,614,669,614,660.1,654.55,643.16,1935146,124460.72,,,
99,26-05-2000,ITC,EQ,654.55,659.9,679,645.15,665.5,671.8,663.61,1499290,99494.64,,,
100,29-05-2000,ITC,EQ,671.8,670,680,660,669.5,670.5,671.19,783797,52607.95,,,
101,30-05-2000,ITC,EQ,670.5,673,749,668,748.5,739.15,701.25,1576933,110582.99,,,
102,31-05-2000,ITC,EQ,739.15,770,789,709,724.15,725.6,737.11,2962904,218397.49,,,
103,01-06-2000,ITC,EQ,725.6,715.35,733,691.1,696.9,695.65,710.74,1190649,84623.79,,,
104,02-06-2000,ITC,EQ,695.65,703,719,686.05,697,696.5,703.02,1238952,87100.29,,,
